Name,TaskType,ProgressType,Set,TID,InfoTID,IconSWF,IconExportName,Score,DurationMinutes,Quantity,Quantity2,Data1,Data2,SelectionWeight,MinLeague,MaxLeague,Disabled,Default,Heading
String,String,String,String,String,String,String,String,int,int,int,int,String,String,int,int,int,boolean,boolean,String
BeatDarkElixirTarget,LootResources,Best,Regular,Dark Elixir Challenge,Loot at least 2000 Dark Elixir from a single Multiplayer Battle.,sc/ui.sc,Home_Get_DarkElixirtarget,100,480,2000,,DarkElixir,,60,0,10,,1,Loot Challenges
LootDarkElixirEpic,LootResources,Accumulative,Epic,Dark Elixir Heist,Loot a total of 12500 Dark Elixir from Multiplayer Battles.,sc/ui.sc,Home_Loot_DarkElixir,250,1440,12500,,DarkElixir,,30,0,10,,1,Loot Challenges
LootDarkElixirMarathon,LootResources,Accumulative,Marathon,Dark Elixir Heist,Loot a total of 20000 Dark Elixir from Multiplayer Battles.,sc/ui.sc,Home_Loot_DarkElixir,400,2880,20000,,DarkElixir,,30,0,10,,1,Loot Challenges
LootDarkElixir,LootResources,Accumulative,Regular,Dark Elixir Heist,Loot a total of 5000 Dark Elixir from Multiplayer Battles.,sc/ui.sc,Home_Loot_DarkElixir,125,480,5000,,DarkElixir,,60,0,10,,1,Loot Challenges
LootDarkElixirIntense,LootResources,Accumulative,Intense,Dark Elixir Heist,Loot a total of 7500 Dark Elixir from Multiplayer Battles.,sc/ui.sc,Home_Loot_DarkElixir,250,60,7500,,DarkElixir,,30,0,10,,1,Loot Challenges
LootDarkElixirRush,LootResources,Accumulative,Rush,Dark Elixir Heist,Loot a total of 10000 Dark Elixir from Multiplayer Battles.,sc/ui.sc,Home_Loot_DarkElixir,350,60,10000,,DarkElixir,,20,0,10,,,Loot Challenges
BeatElixirTarget,LootResources,Best,Regular,Elixir Challenge,Loot at least 200000 Elixir from a single Multiplayer Battle.,sc/ui.sc,Home_Get_Elixirtarget,100,480,200000,,Elixir,,60,0,10,,1,Loot Challenges
LootElixirEpic,LootResources,Accumulative,Epic,Elixir Embezzlement,Loot a total of 1250000 Elixir from Multiplayer Battles.,sc/ui.sc,Home_Loot_Elixir,250,1440,1250000,,Elixir,,45,0,10,,1,Loot Challenges
LootElixirMarathon,LootResources,Accumulative,Marathon,Elixir Embezzlement,Loot a total of 2000000 Elixir from Multiplayer Battles.,sc/ui.sc,Home_Loot_Elixir,400,2880,2000000,,Elixir,,45,0,10,,1,Loot Challenges
LootElixir,LootResources,Accumulative,Regular,Elixir Embezzlement,Loot a total of 500000 Elixir from Multiplayer Battles.,sc/ui.sc,Home_Loot_Elixir,125,480,500000,,Elixir,,90,0,10,,1,Loot Challenges
